type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,4096,239483,0.03,1,82,0.0206103,0.00589372,0.026504,0.117188,3.68547,3.80266,37795
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1048576,108817111,0.1,1,21649,11.9587,44.6618,56.6205,2726,1668.42,4394.42,90787208
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1048576,57896558,0.01,1,1512,5.37102,2.64794,8.01896,209,891.431,1100.43,20997891
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,16384,3236001,3e-05,1,0,-1,0.00284446,-0.997156,0.25,49.5025,49.7525,0
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,16384,1190618,0.3,2615,0,-1,0.786679,-0.213321,163.688,18.2924,181.98,1177854
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262144,136157924,3e-05,1,32,11.3642,1.81579,13.18,6,2079.61,2085.61,5378
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1024,128741,0.3,1,299,0.0106407,0.00671801,0.0173587,0.0556641,1.97224,2.02791,119004
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262144,136157924,0.3,46709,0,-1,852.525,851.525,46713,2079.61,48792.6,135715983
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1048576,57896558,0.003,453,0,-1,20.0889,19.0889,1828,891.431,2719.43,5483638
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1024,28617,0.0003,1,0,-1,0.000213825,-0.999786,0.015625,0.444473,0.460098,0
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,16384,3236001,0.001,1,32,0.257757,0.0474708,0.305228,0.375,49.5025,49.8775,1295
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1024,94066,0.1,1,96,0.00780842,0.0040638,0.0118722,0.03125,1.44315,1.4744,48716
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,4096,861179,0.001,1,32,0.0709178,0.0153996,0.0863174,0.09375,13.1718,13.2655,159
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262143,13605070,0.001,55,0,-1,0.717339,-0.282661,58.9998,209.597,268.597,1051601
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262143,13605070,0.5,27845,0,-1,20.1131,19.1131,27848.9,209.597,28058.5,11651848
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,4096,583316,0.01,1,35,0.0470392,0.0112036,0.0582428,0.09375,8.93195,9.0257,716
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262143,13605070,1,55691,0,-1,20.3653,19.3653,55694.8,209.597,55904.4,11652384
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,65536,16515583,0.01,1,405,1.3902,0.282886,1.67309,4.375,252.508,256.883,1827277
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262143,25031930,0.1,7703,0,-1,43.3207,42.3207,7706.97,383.957,8090.93,23153379
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,4096,380445,0.01,31,0,-1,0.0146023,-0.985398,0.546875,5.83638,6.38326,259760
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,65536,3118146,0.5,1,9945,0.346593,0.579592,0.926185,78.9375,48.0791,127.017,2786189
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,65536,5582501,0.3,7905,0,-1,6.44296,5.44296,1977.25,85.6822,2062.93,5419690
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1048576,200996124,0.0001,1,32,16.8689,3.17767,20.0466,24,3074.96,3098.96,82943
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1024,65895,0.1,91,0,-1,0.0105195,-0.989481,0.371094,1.01329,1.38438,60719
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,65536,9735204,0.5,16714,0,-1,16.5656,15.5656,4179.5,149.047,4328.55,9655864
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262144,136157924,0.0001,1,32,11.2923,1.74393,13.0362,6,2079.61,2085.61,5641
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262144,79339483,0.01,1,1286,6.60343,2.76979,9.37323,45,1212.62,1257.62,23079362
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1024,28617,0.003,1,32,0.00321789,0.00191647,0.00513436,0.0234375,0.444473,0.467911,2779
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262144,79339483,0.03,1,3858,6.63084,6.57887,13.2097,125.5,1212.62,1338.12,64126315
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,4096,380445,0.01,1,32,0.0314749,0.00932065,0.0407955,0.09375,5.83638,5.93013,1012
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,65536,3118146,1,1,19891,0.429827,1.10397,1.53379,156.625,48.0791,204.704,2768693
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,4096,583316,0.5,1,1761,0.0468869,0.0292201,0.076107,0.9375,8.93195,9.86945,582095
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,4096,239483,0.0001,1,32,0.0206345,0.00426297,0.0248975,0.09375,3.68547,3.77922,2344
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,4096,380445,0.003,1,32,0.0311127,0.00564787,0.0367606,0.09375,5.83638,5.93013,1040
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,65536,27231243,0.3,14160,0,-1,83.4536,82.4536,3541,416.016,3957.02,27209057
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,16384,1190618,0.5,4359,0,-1,0.796395,-0.203605,272.688,18.2924,290.98,1178410
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,16384,689667,0.003,1,32,0.0510438,0.00985166,0.0608954,0.375,10.6485,11.0235,9826
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,16384,5074122,0.3,1,4082,0.400205,0.389573,0.789778,8.28125,77.55,85.8312,4923440
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,65536,9735204,0.01,334,0,-1,2.69088,1.69088,84.5,149.047,233.547,4646635
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,65536,5582501,0.03,1,790,0.468574,0.163665,0.632239,7.375,85.6822,93.0572,3057836
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1024,94066,0.01,9,0,-1,0.00135303,-0.998647,0.0507812,1.44315,1.49393,82062
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1048576,57896558,2,302412,0,-1,152.388,151.388,1.20966e+06,891.431,1.21056e+06,42915327
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,4096,380445,2,1,6370,0.034103,0.0694927,0.103596,3.1875,5.83638,9.02388,375006
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,65536,5582501,0.0003,1,32,0.48062,0.0757135,0.556333,1.5,85.6822,87.1822,14078
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262143,45089845,0.0001,1,32,3.82674,0.58311,4.40985,5.99998,690.016,696.016,28534
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,16,4096,239483,0,0,0,0,0.108775,0.108775,0,3.68547,3.68547,238791
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,4096,861179,0.5,1878,0,-1,0.710201,-0.289799,29.4062,13.1718,42.578,861140
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,16384,1995244,0.5,1,5283,0.168452,0.192093,0.360545,10.625,30.57,41.195,1879498
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,65536,27231243,0.001,1,47,2.24508,0.286866,2.53195,1.5625,416.016,417.578,5422
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262143,45089845,1,1,101942,6.75959,76.9927,83.7523,3190.49,690.016,3880.5,43630260
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1024,128741,0.01,9,0,-1,0.00185529,-0.998145,0.0507812,1.97224,2.02303,95880
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,16384,1995244,0.003,1,32,0.161734,0.0280836,0.189818,0.375,30.57,30.945,2215
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,262144,136157924,0.001,1,155,10.7162,1.91112,12.6273,9.75,2079.61,2089.36,280082
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,16,4096,380445,0,0,0,0,0.208901,0.208901,0,5.83638,5.83638,380195
RRR,JP-OV,BASE,JP-OV_BASE,kronecker,16,4096,861179,0,0,0,0,0.74138,0.74138,0,13.1718,13.1718,861151
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,1048576,200996124,0.3,1,89209,27.2554,295.584,322.84,11171,3074.96,14246,182399844
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,65536,16515583,0.1,4057,0,-1,28.2645,27.2645,1015.25,252.508,1267.76,16391520
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,65536,9735204,1,1,33429,1.04223,5.39227,6.4345,262.375,149.047,411.422,9585267
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,4096,861179,0.01,1,37,0.0679946,0.010498,0.0784926,0.09375,13.1718,13.2655,206
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,262143,25031930,0.0003,23,0,-1,0.635857,-0.364143,26.9999,383.957,410.957,9311806
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1048576,108817111,0.0001,21,0,-1,2.82824,1.82824,100,1668.42,1768.42,16981107
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,16384,3236001,2,1,24502,0.302339,1.33712,1.63946,48.1562,49.5025,97.6587,3232557
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1024,65895,1,913,0,-1,0.028491,-0.971509,3.58203,1.01329,4.59532,65879
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,4096,583316,0.3,1056,0,-1,0.32125,-0.67875,16.5625,8.93195,25.4944,582994
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,65536,3118146,3e-05,1,0,-1,0.00505183,-0.994948,1,48.0791,49.0791,0
RRR,JP-OV,BF,JP-OV_BF,kronecker,16,4096,145345,0.001,1,32,0.0130164,0.00326408,0.0162805,0.09375,2.24904,2.34279,2885
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,65536,9735204,0.001,33,0,-1,0.326724,-0.673276,9.25,149.047,158.297,3667561
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,1024,65895,0.3,273,0,-1,0.0216208,-0.978379,1.08203,1.01329,2.09532,65788
RRR,JP-OV,1H,JP-OV_1H,kronecker,16,16384,1190618,3e-05,1,0,-1,0.00127414,-0.998726,0.25,18.2924,18.5424,0
