type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,16,1048575,30341493,0,0,0,8.02258,7.3248,15.3474,0,470.974,470.974,2076603524
RRR,TC,1H,TC_1H,kronecker,16,262143,25031930,0.5,38516,0,20.1275,19.0487,39.1763,38519.9,383.957,38903.8,38058066117
RRR,TC,BF,TC_BF,kronecker,16,65536,3118146,2,1,39782,0.463628,2.16295,2.62658,312,48.0791,360.079,196058761
RRR,TC,1H,TC_1H,kronecker,16,4096,380445,3e-05,1,0,0.00289062,0.00108527,0.00397588,0.078125,5.83638,5.91451,15408263
RRR,TC,1H,TC_1H,kronecker,16,65536,9735204,3e-05,1,0,0.0315484,0.0306989,0.0622473,1.25,149.047,150.297,383383113
RRR,TC,BF,TC_BF,kronecker,16,1048576,57896558,0.003,1,453,2.82953,1.65639,4.48592,76,891.431,967.431,2199435589
RRR,TC,BASE,TC_BASE,kronecker,16,262144,79339483,0,0,0,0,125.208,125.208,0,1212.62,1212.62,37252480120
RRR,TC,BF,TC_BF,kronecker,16,65536,5582501,0.1,1,2635,0.2688,0.320716,0.589517,21.8125,85.6822,107.495,600916949
RRR,TC,1H,TC_1H,kronecker,16,65536,16515583,0.01,405,0,0.677599,3.00637,3.68396,102.25,252.508,354.758,6752919309
RRR,TC,1H,TC_1H,kronecker,16,16384,1995244,0.001,10,0,0.00888266,0.0180847,0.0269673,0.875,30.57,31.445,271242538
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.01,1,1286,3.219,2.91013,6.12914,45,1212.62,1257.62,16957403112
RRR,TC,BF,TC_BF,kronecker,16,16384,1995244,0.03,1,317,0.0860304,0.037563,0.123593,0.921875,30.57,31.4919,166644631
RRR,TC,BF,TC_BF,kronecker,16,1048576,57896558,2,1,302412,36.2292,304.524,340.754,37821,891.431,38712.4,6737407648
RRR,TC,1H,TC_1H,kronecker,16,16384,689667,2,13766,0,1.01343,0.123191,1.13663,860.625,10.6485,871.273,177510623
RRR,TC,BF,TC_BF,kronecker,16,4096,380445,0.01,1,32,0.0173619,0.00615843,0.0235203,0.09375,5.83638,5.93013,636576
RRR,TC,1H,TC_1H,kronecker,16,16384,3236001,0.0001,1,0,0.0119345,0.00837804,0.0203126,0.3125,49.5025,49.815,318952991
RRR,TC,BF,TC_BF,kronecker,16,4096,380445,0.3,1,955,0.0169969,0.0122338,0.0292307,0.542969,5.83638,6.37935,26118634
